posX,posY,MAC,frequency,posXY,ap_x,ap_y,dist,avg_RSSI,avg_diffMAX
0,0,00:14:bf:b1:97:8a,2.4370000000000003,"0, 0",2.5,-0.8,2.6248809496813377,38.76962676962677,54.23037323037323
0,0,00:14:bf:b1:97:90,2.427,"0, 0",1,14,14.035668847618199,56.286821705426355,36.713178294573645
0,0,00:0f:a3:39:e1:c0,2.462,"0, 0",7.5,6.3,9.794896630388704,53.46606334841629,39.53393665158371
0,0,00:14:bf:b1:97:8d,2.442,"0, 0",33.5,9.3,34.766938317890464,65.92565597667638,27.074344023323615
0,0,00:14:bf:b1:97:81,2.422,"0, 0",33.5,2.8,33.616811270553306,64.4815340909091,28.51846590909091
0,0,00:14:bf:3b:c7:c6,2.432,"0, 0",12.8,-2.8,13.102671483327361,66.28391959798995,26.71608040201005
1,0,00:14:bf:b1:97:8a,2.4370000000000003,"1, 0",2.5,-0.8,1.7,36.58040201005025,56.41959798994975
1,0,00:0f:a3:39:e1:c0,2.462,"1, 0",7.5,6.3,9.052071586106685,50.92045454545455,42.07954545454545
1,0,00:14:bf:b1:97:90,2.427,"1, 0",1,14,14,54.97471554993679,38.02528445006321
1,0,00:14:bf:b1:97:81,2.422,"1, 0",33.5,2.8,32.62039239494215,67.21052631578948,25.789473684210527
1,0,00:14:bf:b1:97:8d,2.442,"1, 0",33.5,9.3,33.804437578519185,65.13852813852814,27.861471861471863
1,0,00:14:bf:3b:c7:c6,2.432,"1, 0",12.8,-2.8,12.127654348636426,63.23898531375167,29.76101468624833
2,0,00:14:bf:b1:97:8a,2.4370000000000003,"2, 0",2.5,-0.8,0.9433981132056605,33.88780487804878,59.11219512195122
2,0,00:0f:a3:39:e1:c0,2.462,"2, 0",7.5,6.3,8.363013810822029,55.61180476730988,37.38819523269012
2,0,00:14:bf:b1:97:81,2.422,"2, 0",33.5,2.8,31.62419959461425,66.1137026239067,26.886297376093296
2,0,00:14:bf:b1:97:8d,2.442,"2, 0",33.5,9.3,32.84417756619885,66.65497896213184,26.34502103786816
2,0,00:14:bf:b1:97:90,2.427,"2, 0",1,14,14.035668847618199,59.327777777777776,33.672222222222224
2,0,00:14:bf:3b:c7:c6,2.432,"2, 0",12.8,-2.8,11.157060544785082,64.08229426433915,28.91770573566085
0,1,00:14:bf:b1:97:8a,2.4370000000000003,"0, 1",2.5,-0.8,3.0805843601498726,39.73,53.27
0,1,00:0f:a3:39:e1:c0,2.462,"0, 1",7.5,6.3,9.183681179135085,52.90557451649602,40.09442548350398
0,1,00:14:bf:b1:97:90,2.427,"0, 1",1,14,13.038404810405298,58.031168831168834,34.968831168831166
0,1,00:14:bf:b1:97:8d,2.442,"0, 1",33.5,9.3,34.51289614042844,65.49563953488372,27.504360465116278
0,1,00:14:bf:3b:c7:c6,2.432,"0, 1",12.8,-2.8,13.352153384379616,66.17669654289372,26.823303457106274
0,1,00:14:bf:b1:97:81,2.422,"0, 1",33.5,2.8,33.548323356018855,65.72727272727273,27.272727272727273
1,1,00:14:bf:b1:97:8a,2.4370000000000003,"1, 1",2.5,-0.8,2.3430749027719964,39.18238993710692,53.81761006289308
1,1,00:14:bf:b1:97:90,2.427,"1, 1",1,14,13,55.10506329113924,37.89493670886076
1,1,00:14:bf:3b:c7:c6,2.432,"1, 1",12.8,-2.8,12.396773773849388,63.565104166666664,29.434895833333332
1,1,00:0f:a3:39:e1:c0,2.462,"1, 1",7.5,6.3,8.386894538504702,54.75085324232082,38.24914675767918
1,1,00:14:bf:b1:97:8d,2.442,"1, 1",33.5,9.3,33.543106594351094,65.83116883116882,27.16883116883117
1,1,00:14:bf:b1:97:81,2.422,"1, 1",33.5,2.8,32.549807987144874,65.73669849931787,27.26330150068213
