"","timestamp","receiver","posX","posY","orientation","ap_mac","rssi","frequency","mode","ap_x","ap_y"
"1",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-43,"2437000000","3",2.5,-0.8
"2",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"3",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:3b:c7:c6",-62,"2432000000","3",12.8,-2.8
"4",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:81",-58,"2422000000","3",33.5,2.8
"5",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-62,"2442000000","3",33.5,9.3
"6",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-57,"2427000000","3",1,14
"12",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-43,"2437000000","3",2.5,-0.8
"13",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8a",-43,"2437000000","3",2.5,-0.8
"14",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-52,"2462000000","3",7.5,6.3
"15",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:90",-57,"2427000000","3",1,14
"16",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:14:bf:b1:97:8d",-64,"2442000000","3",33.5,9.3
"21",2006-02-11 21:14:37,"00:02:2D:21:0F:33",0,0.05,130.5,"00:0f:a3:39:e1:c0",-51,"2462000000","3",7.5,6.3
